05/19 04:12:11 AM | Epoch[68] :	Map 0.3036	
05/19 04:14:56 AM | Epoch[69] :	Total_loss 3.031506061553955	
05/19 04:15:43 AM | Epoch[69] :	Map 0.1996	
05/19 04:18:29 AM | Epoch[70] :	Total_loss 2.341874122619629	
05/19 04:19:19 AM | Epoch[70] :	Map 0.2524	
05/19 04:21:58 AM | Epoch[71] :	Total_loss 2.157536506652832	
05/19 04:22:46 AM | Epoch[71] :	Map 0.1543	
05/19 04:25:35 AM | Epoch[72] :	Total_loss 2.5080020427703857	
05/19 04:26:23 AM | Epoch[72] :	Map 0.2431	
05/19 04:29:13 AM | Epoch[73] :	Total_loss 2.272217035293579	
05/19 04:30:01 AM | Epoch[73] :	Map 0.2546	
05/19 04:32:53 AM | Epoch[74] :	Total_loss 2.136042356491089	
05/19 04:33:42 AM | Epoch[74] :	Map 0.3382	
05/19 04:33:42 AM | Best_map 0.3382	
05/19 04:36:27 AM | Epoch[75] :	Total_loss 15.94468879699707	
05/19 04:37:14 AM | Epoch[75] :	Map 0.2413	
05/19 04:40:02 AM | Epoch[76] :	Total_loss 2.8591325283050537	
05/19 04:40:51 AM | Epoch[76] :	Map 0.1196	
05/19 04:43:32 AM | Epoch[77] :	Total_loss 4.456257343292236	
05/19 04:44:20 AM | Epoch[77] :	Map 0.2968	
05/19 04:47:07 AM | Epoch[78] :	Total_loss 8.882118225097656	
05/19 04:47:56 AM | Epoch[78] :	Map 0.2151	
05/19 04:50:48 AM | Epoch[79] :	Total_loss 4.987683296203613	
05/19 04:51:36 AM | Epoch[79] :	Map 0.3147	
05/19 04:54:29 AM | Epoch[80] :	Total_loss 2.8429317474365234	
05/19 04:55:17 AM | Epoch[80] :	Map 0.0932	
05/19 04:58:11 AM | Epoch[81] :	Total_loss 2.9043209552764893	
05/19 04:59:01 AM | Epoch[81] :	Map 0.2731	
05/19 05:01:44 AM | Epoch[82] :	Total_loss 2.8375606536865234	
05/19 05:02:34 AM | Epoch[82] :	Map 0.2832	
05/19 05:05:17 AM | Epoch[83] :	Total_loss 2.369612455368042	
05/19 05:06:05 AM | Epoch[83] :	Map 0.3232	
05/19 05:08:59 AM | Epoch[84] :	Total_loss 1.5461132526397705	
05/19 05:09:43 AM | Epoch[84] :	Map 0.3037	
05/19 05:12:16 AM | Epoch[85] :	Total_loss 2.139547348022461	
05/19 05:13:00 AM | Epoch[85] :	Map 0.2717	
05/19 05:15:46 AM | Epoch[86] :	Total_loss 5.091779708862305	
05/19 05:16:30 AM | Epoch[86] :	Map 0.2688	
05/19 05:19:17 AM | Epoch[87] :	Total_loss 1.866739273071289	
05/19 05:20:01 AM | Epoch[87] :	Map 0.2462	
05/19 05:22:49 AM | Epoch[88] :	Total_loss 3.640218734741211	
05/19 05:23:34 AM | Epoch[88] :	Map 0.3160	
05/19 05:26:19 AM | Epoch[89] :	Total_loss 4.492427349090576	
05/19 05:27:03 AM | Epoch[89] :	Map 0.2809	
05/19 05:29:53 AM | Epoch[90] :	Total_loss 2.03843355178833	
05/19 05:30:41 AM | Epoch[90] :	Map 0.2949	
05/19 05:33:34 AM | Epoch[91] :	Total_loss 2.466893196105957	
05/19 05:34:19 AM | Epoch[91] :	Map 0.2471	
05/19 05:37:04 AM | Epoch[92] :	Total_loss 6.602900505065918	
05/19 05:37:48 AM | Epoch[92] :	Map 0.1593	
05/19 05:40:33 AM | Epoch[93] :	Total_loss 2.6718502044677734	
05/19 05:41:21 AM | Epoch[93] :	Map 0.3270	
05/19 05:44:01 AM | Epoch[94] :	Total_loss 1.1499121189117432	
