05/19 12:31:04 PM | Epoch[63] :	Map 0.2489	
05/19 12:32:35 PM | Epoch[64] :	Total_loss 7.416625022888184	
05/19 12:33:24 PM | Epoch[64] :	Map 0.0870	
05/19 12:34:52 PM | Epoch[65] :	Total_loss 16.228635787963867	
05/19 12:35:40 PM | Epoch[65] :	Map 0.2657	
05/19 12:37:07 PM | Epoch[66] :	Total_loss 2.1275458335876465	
05/19 12:37:55 PM | Epoch[66] :	Map 0.1819	
05/19 12:39:25 PM | Epoch[67] :	Total_loss 4.385983467102051	
05/19 12:40:14 PM | Epoch[67] :	Map 0.2576	
05/19 12:41:42 PM | Epoch[68] :	Total_loss 2.0815987586975098	
05/19 12:42:29 PM | Epoch[68] :	Map 0.1432	
05/19 12:44:00 PM | Epoch[69] :	Total_loss 4.328128814697266	
05/19 12:44:48 PM | Epoch[69] :	Map 0.1696	
05/19 12:46:19 PM | Epoch[70] :	Total_loss 4.032520294189453	
05/19 12:47:07 PM | Epoch[70] :	Map 0.1422	
05/19 12:48:35 PM | Epoch[71] :	Total_loss 10.143206596374512	
05/19 12:49:20 PM | Epoch[71] :	Map 0.1599	
05/19 12:50:50 PM | Epoch[72] :	Total_loss 11.478273391723633	
05/19 12:51:37 PM | Epoch[72] :	Map 0.1919	
05/19 12:53:06 PM | Epoch[73] :	Total_loss 4.631901264190674	
05/19 12:53:50 PM | Epoch[73] :	Map 0.1685	
05/19 12:55:20 PM | Epoch[74] :	Total_loss 35.44087219238281	
05/19 12:56:05 PM | Epoch[74] :	Map 0.2195	
05/19 12:57:33 PM | Epoch[75] :	Total_loss 2.5263991355895996	
05/19 12:58:17 PM | Epoch[75] :	Map 0.2962	
05/19 12:59:41 PM | Epoch[76] :	Total_loss 3.3356173038482666	
05/19 01:00:25 PM | Epoch[76] :	Map 0.1928	
05/19 01:01:54 PM | Epoch[77] :	Total_loss 7.700605869293213	
05/19 01:02:42 PM | Epoch[77] :	Map 0.1929	
05/19 01:04:10 PM | Epoch[78] :	Total_loss 2.8027312755584717	
05/19 01:04:58 PM | Epoch[78] :	Map 0.1981	
05/19 01:06:26 PM | Epoch[79] :	Total_loss 2.4134888648986816	
05/19 01:07:13 PM | Epoch[79] :	Map 0.2516	
05/19 01:08:39 PM | Epoch[80] :	Total_loss 15.680853843688965	
05/19 01:09:23 PM | Epoch[80] :	Map 0.1392	
05/19 01:10:56 PM | Epoch[81] :	Total_loss 1.1179156303405762	
05/19 01:11:41 PM | Epoch[81] :	Map 0.1733	
05/19 01:13:11 PM | Epoch[82] :	Total_loss 10.505998611450195	
05/19 01:13:59 PM | Epoch[82] :	Map 0.2886	
05/19 01:15:28 PM | Epoch[83] :	Total_loss 4.372662544250488	
05/19 01:16:12 PM | Epoch[83] :	Map 0.1345	
05/19 01:17:40 PM | Epoch[84] :	Total_loss 20.872100830078125	
05/19 01:18:27 PM | Epoch[84] :	Map 0.2098	
